"Operation Date","User","Operation Type","Transaction ID","Description","Amount","Balance","Label"
"31/01/2025 21:00:12","Nusuk Nusuk","PURCHASE","3722","PNR 2LEGXX","-356.50","171423.90",""
"31/01/2025 21:03:49","Nusuk Nusuk","PURCHASE","3724","PNR RKJWJJ","-74.75","171349.15",""
"31/01/2025 21:32:36","Nusuk Nusuk","PURCHASE","3727","PNR QUMSUM","-287.50","171061.65",""
"31/01/2025 21:58:40","Nusuk Nusuk","PURCHASE","3728","PNR YPE296","-1069.50","169992.15",""
"01/02/2025 02:08:24","Nusuk Nusuk","PURCHASE","3731","PNR HX266W","-373.75","169618.40",""
"01/02/2025 02:30:13","Nusuk Nusuk","PURCHASE","3732","PNR ACGFKL","-74.75","169543.65",""
"01/02/2025 02:46:48","Nusuk Nusuk","PURCHASE","3733","PNR IHHQIT","-261.63","169282.02",""
"01/02/2025 04:08:03","Nusuk Nusuk","PURCHASE","3735","PNR EI77XA","-563.50","168718.52",""
"01/02/2025 04:57:37","Nusuk Nusuk","PURCHASE","3738","PNR VW4FX7","-74.75","168643.77",""
"01/02/2025 06:15:36","Nusuk Nusuk","PURCHASE","3743","PNR Y8DC5I","-143.75","168500.02",""
"01/02/2025 06:40:41","Nusuk Nusuk","PURCHASE","3746","PNR KL99ZW","-281.75","167936.52",""
"01/02/2025 06:40:41","Nusuk Nusuk","PURCHASE","3745","PNR QZV8K6","-281.75","167936.52",""
"01/02/2025 07:29:18","Nusuk Nusuk","PURCHASE","3748","PNR A9HTYE","-356.50","167580.02",""
"01/02/2025 07:34:14","Nusuk Nusuk","PURCHASE","3749","PNR CWPOV7","-460.00","167120.02",""
"01/02/2025 08:09:07","Nusuk Nusuk","PURCHASE","3752","PNR HJ4O8J","-224.25","166895.77",""
"01/02/2025 10:52:01","Nusuk Nusuk","PURCHASE","3755","PNR UQ8CRT","-356.50","166539.27",""
"01/02/2025 11:08:15","Nusuk Nusuk","PURCHASE","3756","PNR YVBEVT","-74.75","166464.52",""
"01/02/2025 11:20:02","Nusuk Nusuk","PURCHASE","3757","PNR I5S97E","-622.15","165842.37",""
"01/02/2025 11:20:53","Nusuk Nusuk","PURCHASE","3758","PNR RREZMX","-563.50","165278.87",""
"01/02/2025 12:28:15","Nusuk Nusuk","PURCHASE","3763","PNR 35BERG","-563.50","164715.37",""
"01/02/2025 12:41:17","Nusuk Nusuk","PURCHASE","3764","PNR U4V3AS","-819.96","163895.41",""
"01/02/2025 12:58:22","Nusuk Nusuk","PURCHASE","3766","PNR GW5XYG","-178.25","163717.16",""
"01/02/2025 13:57:19","Nusuk Nusuk","PURCHASE","3768","PNR W6JXPW","-1150.00","162567.16",""
"01/02/2025 14:17:15","Nusuk Nusuk","PURCHASE","3769","PNR KGLL2F","-74.75","162492.41",""
